b'doubleTwelveTaskFragmentReceived:_765702',b'3' 
b'doubleTwelveTaskFragmentReceived:_1060501',b'6' 
b'doubleTwelveTaskFragmentReceived:_244119',b'9' 
b'doubleTwelveTaskFragmentReceived:_240515',b'3' 
b'doubleTwelveTaskFragmentReceived:_1008182',b'11' 
b'doubleTwelveTaskFragmentReceived:_909977',b'13' 
b'doubleTwelveTaskFragmentReceived:_392933',b'9' 
b'doubleTwelveTaskFragmentReceived:_116026',b'15' 
b'doubleTwelveTaskFragmentReceived:_750052',b'3' 
b'doubleTwelveTaskFragmentReceived:_1008973',b'6' 
b'doubleTwelveTaskFragmentReceived:_884765',b'2' 
b'doubleTwelveTaskFragmentReceived:_588072',b'6' 
b'doubleTwelveTaskFragmentReceived:_624010',b'7' 
b'doubleTwelveTaskFragmentReceived:_463048',b'3' 
b'doubleTwelveTaskFragmentReceived:_1034082',b'4' 
b'doubleTwelveTaskFragmentReceived:_624972',b'5' 
b'doubleTwelveTaskFragmentReceived:_303214',b'12' 
b'doubleTwelveTaskFragmentReceived:_527456',b'3' 
b'doubleTwelveTaskFragmentReceived:_1058119',b'3' 
b'doubleTwelveTaskFragmentReceived:_6029',b'3' 
b'doubleTwelveTaskFragmentReceived:_871227',b'6' 
b'doubleTwelveTaskFragmentReceived:_693023',b'6' 
b'doubleTwelveTaskFragmentReceived:_671761',b'2' 
b'doubleTwelveTaskFragmentReceived:_1026484',b'3' 
b'doubleTwelveTaskFragmentReceived:_489526',b'6' 
b'doubleTwelveTaskFragmentReceived:_908027',b'17' 
b'doubleTwelveTaskFragmentReceived:_810706',b'8' 
b'doubleTwelveTaskFragmentReceived:_323797',b'8' 
b'doubleTwelveTaskFragmentReceived:_24957',b'3' 
b'doubleTwelveTaskFragmentReceived:_187499',b'15' 
b'doubleTwelveTaskFragmentReceived:_118375',b'13' 
b'doubleTwelveTaskFragmentReceived:_156721',b'3' 
b'doubleTwelveTaskFragmentReceived:_313550',b'7' 
b'doubleTwelveTaskFragmentReceived:_984151',b'2' 
b'doubleTwelveTaskFragmentReceived:_227807',b'6' 
b'doubleTwelveTaskFragmentReceived:_578808',b'3' 
b'doubleTwelveTaskFragmentReceived:_885439',b'5' 
b'doubleTwelveTaskFragmentReceived:_273098',b'6' 
b'doubleTwelveTaskFragmentReceived:_1084075',b'6' 
b'doubleTwelveTaskFragmentReceived:_867475',b'2' 
b'doubleTwelveTaskFragmentReceived:_870300',b'15' 
b'doubleTwelveTaskFragmentReceived:_956135',b'18' 
b'doubleTwelveTaskFragmentReceived:_751834',b'8' 
b'doubleTwelveTaskFragmentReceived:_1023370',b'6' 
b'doubleTwelveTaskFragmentReceived:_879711',b'9' 
b'doubleTwelveTaskFragmentReceived:_69995',b'15' 
b'doubleTwelveTaskFragmentReceived:_198355',b'3' 
b'doubleTwelveTaskFragmentReceived:_947516',b'3' 
b'doubleTwelveTaskFragmentReceived:_1023813',b'3' 
b'doubleTwelveTaskFragmentReceived:_806114',b'17' 
b'doubleTwelveTaskFragmentReceived:_309246',b'4' 
b'doubleTwelveTaskFragmentReceived:_211924',b'9' 
b'doubleTwelveTaskFragmentReceived:_1062710',b'6' 
b'doubleTwelveTaskFragmentReceived:_210949',b'3' 
b'doubleTwelveTaskFragmentReceived:_925202',b'7' 
b'doubleTwelveTaskFragmentReceived:_821081',b'3' 
b'doubleTwelveTaskFragmentReceived:_822178',b'3' 
b'doubleTwelveTaskFragmentReceived:_787168',b'9' 
b'doubleTwelveTaskFragmentReceived:_885903',b'3' 
b'doubleTwelveTaskFragmentReceived:_471076',b'12' 
b'doubleTwelveTaskFragmentReceived:_349469',b'6' 
b'doubleTwelveTaskFragmentReceived:_1037643',b'6' 
b'doubleTwelveTaskFragmentReceived:_989723',b'6' 
b'doubleTwelveTaskFragmentReceived:_747122',b'9' 
b'doubleTwelveTaskFragmentReceived:_191864',b'6' 
b'doubleTwelveTaskFragmentReceived:_977353',b'6' 
b'doubleTwelveTaskFragmentReceived:_978634',b'6' 
b'doubleTwelveTaskFragmentReceived:_811521',b'5' 
b'doubleTwelveTaskFragmentReceived:_270152',b'5' 
b'doubleTwelveTaskFragmentReceived:_542221',b'15' 
b'doubleTwelveTaskFragmentReceived:_1048644',b'3' 
b'doubleTwelveTaskFragmentReceived:_980798',b'3' 
b'doubleTwelveTaskFragmentReceived:_551937',b'3' 
b'doubleTwelveTaskFragmentReceived:_863310',b'6' 
b'doubleTwelveTaskFragmentReceived:_725676',b'7' 
b'doubleTwelveTaskFragmentReceived:_870720',b'5' 
b'doubleTwelveTaskFragmentReceived:_1014126',b'6' 
b'doubleTwelveTaskFragmentReceived:_962936',b'5' 
b'doubleTwelveTaskFragmentReceived:_302910',b'3' 
b'doubleTwelveTaskFragmentReceived:_502981',b'2' 
b'doubleTwelveTaskFragmentReceived:_3882',b'3' 
b'doubleTwelveTaskFragmentReceived:_752625',b'6' 
b'doubleTwelveTaskFragmentReceived:_4328',b'7' 
b'doubleTwelveTaskFragmentReceived:_820563',b'9' 
b'doubleTwelveTaskFragmentReceived:_797724',b'3' 
b'doubleTwelveTaskFragmentReceived:_248047',b'3' 
b'doubleTwelveTaskFragmentReceived:_544602',b'3' 
b'doubleTwelveTaskFragmentReceived:_891543',b'14' 
b'doubleTwelveTaskFragmentReceived:_231441',b'7' 
b'doubleTwelveTaskFragmentReceived:_347265',b'6' 
b'doubleTwelveTaskFragmentReceived:_318947',b'3' 
b'doubleTwelveTaskFragmentReceived:_439315',b'3' 
b'doubleTwelveTaskFragmentReceived:_454485',b'12' 
b'doubleTwelveTaskFragmentReceived:_947650',b'3' 
b'doubleTwelveTaskFragmentReceived:_508129',b'6' 
b'doubleTwelveTaskFragmentReceived:_342514',b'3' 
b'doubleTwelveTaskFragmentReceived:_471236',b'6' 
b'doubleTwelveTaskFragmentReceived:_592651',b'3' 
b'doubleTwelveTaskFragmentReceived:_225687',b'15' 
b'doubleTwelveTaskFragmentReceived:_92546',b'8' 
b'doubleTwelveTaskFragmentReceived:_525605',b'14' 
b'doubleTwelveTaskFragmentReceived:_796748',b'3' 
b'doubleTwelveTaskFragmentReceived:_1006279',b'3' 
b'doubleTwelveTaskFragmentReceived:_13626',b'3' 
b'doubleTwelveTaskFragmentReceived:_1043831',b'6' 
b'doubleTwelveTaskFragmentReceived:_458013',b'9' 
b'doubleTwelveTaskFragmentReceived:_693428',b'4' 
b'doubleTwelveTaskFragmentReceived:_888579',b'5' 
b'doubleTwelveTaskFragmentReceived:_11374',b'6' 
b'doubleTwelveTaskFragmentReceived:_219843',b'12' 
b'doubleTwelveTaskFragmentReceived:_173999',b'9' 
b'doubleTwelveTaskFragmentReceived:_408094',b'3' 
b'doubleTwelveTaskFragmentReceived:_165257',b'6' 
b'doubleTwelveTaskFragmentReceived:_428810',b'3' 
b'doubleTwelveTaskFragmentReceived:_137005',b'3' 
b'doubleTwelveTaskFragmentReceived:_94809',b'12' 
b'doubleTwelveTaskFragmentReceived:_1039111',b'5' 
b'doubleTwelveTaskFragmentReceived:_737130',b'8' 
b'doubleTwelveTaskFragmentReceived:_693049',b'6' 
b'doubleTwelveTaskFragmentReceived:_801359',b'6' 
b'doubleTwelveTaskFragmentReceived:_271601',b'15' 
b'doubleTwelveTaskFragmentReceived:_1061395',b'3' 
b'doubleTwelveTaskFragmentReceived:_283634',b'6' 
b'doubleTwelveTaskFragmentReceived:_1078393',b'2' 
b'doubleTwelveTaskFragmentReceived:_961849',b'10' 
b'doubleTwelveTaskFragmentReceived:_270707',b'15' 
b'doubleTwelveTaskFragmentReceived:_36920',b'6' 
b'doubleTwelveTaskFragmentReceived:_840646',b'6' 
b'doubleTwelveTaskFragmentReceived:_727733',b'4' 
b'doubleTwelveTaskFragmentReceived:_339027',b'9' 
b'doubleTwelveTaskFragmentReceived:_778899',b'2' 
b'doubleTwelveTaskFragmentReceived:_1057485',b'3' 
b'doubleTwelveTaskFragmentReceived:_775707',b'14' 
b'doubleTwelveTaskFragmentReceived:_1077202',b'3' 
b'doubleTwelveTaskFragmentReceived:_14580',b'14' 
b'doubleTwelveTaskFragmentReceived:_1052801',b'6' 
b'doubleTwelveTaskFragmentReceived:_542',b'9' 
b'doubleTwelveTaskFragmentReceived:_172470',b'17' 
b'doubleTwelveTaskFragmentReceived:_572229',b'12' 
b'doubleTwelveTaskFragmentReceived:_998570',b'3' 
b'doubleTwelveTaskFragmentReceived:_76069',b'6' 
b'doubleTwelveTaskFragmentReceived:_553561',b'6' 
b'doubleTwelveTaskFragmentReceived:_827446',b'17' 
b'doubleTwelveTaskFragmentReceived:_90454',b'4' 
b'doubleTwelveTaskFragmentReceived:_135460',b'3' 
b'doubleTwelveTaskFragmentReceived:_255782',b'3' 
b'doubleTwelveTaskFragmentReceived:_570414',b'6' 
b'doubleTwelveTaskFragmentReceived:_1073925',b'2' 
b'doubleTwelveTaskFragmentReceived:_965130',b'2' 
b'doubleTwelveTaskFragmentReceived:_1006708',b'8' 
b'doubleTwelveTaskFragmentReceived:_147781',b'3' 
b'doubleTwelveTaskFragmentReceived:_661042',b'10' 
b'doubleTwelveTaskFragmentReceived:_903742',b'17' 
b'doubleTwelveTaskFragmentReceived:_964922',b'6' 
b'doubleTwelveTaskFragmentReceived:_701647',b'8' 
b'doubleTwelveTaskFragmentReceived:_143232',b'2' 
b'doubleTwelveTaskFragmentReceived:_683875',b'6' 
b'doubleTwelveTaskFragmentReceived:_973504',b'8' 
b'doubleTwelveTaskFragmentReceived:_457968',b'6' 
b'doubleTwelveTaskFragmentReceived:_271000',b'12' 
b'doubleTwelveTaskFragmentReceived:_1064524',b'6' 
b'doubleTwelveTaskFragmentReceived:_533769',b'3' 
b'doubleTwelveTaskFragmentReceived:_12567',b'7' 
b'doubleTwelveTaskFragmentReceived:_455078',b'6' 
b'doubleTwelveTaskFragmentReceived:_1059187',b'6' 
b'doubleTwelveTaskFragmentReceived:_1013446',b'3' 
b'doubleTwelveTaskFragmentReceived:_738532',b'6' 
b'doubleTwelveTaskFragmentReceived:_754274',b'3' 
b'doubleTwelveTaskFragmentReceived:_7976',b'6' 
b'doubleTwelveTaskFragmentReceived:_491281',b'11' 
b'doubleTwelveTaskFragmentReceived:_949412',b'4' 
b'doubleTwelveTaskFragmentReceived:_287946',b'12' 
b'doubleTwelveTaskFragmentReceived:_590661',b'3' 
b'doubleTwelveTaskFragmentReceived:_885553',b'15' 
b'doubleTwelveTaskFragmentReceived:_1010497',b'11' 
b'doubleTwelveTaskFragmentReceived:_672773',b'3' 
b'doubleTwelveTaskFragmentReceived:_15982',b'4' 
b'doubleTwelveTaskFragmentReceived:_216903',b'9' 
b'doubleTwelveTaskFragmentReceived:_255803',b'15' 
b'doubleTwelveTaskFragmentReceived:_501653',b'3' 
b'doubleTwelveTaskFragmentReceived:_893444',b'6' 
b'doubleTwelveTaskFragmentReceived:_864610',b'6' 
b'doubleTwelveTaskFragmentReceived:_28429',b'3' 
b'doubleTwelveTaskFragmentReceived:_141699',b'3' 
b'doubleTwelveTaskFragmentReceived:_874320',b'3' 
b'doubleTwelveTaskFragmentReceived:_57672',b'6' 
b'doubleTwelveTaskFragmentReceived:_418863',b'3' 
b'doubleTwelveTaskFragmentReceived:_680164',b'12' 
b'doubleTwelveTaskFragmentReceived:_788169',b'2' 
b'doubleTwelveTaskFragmentReceived:_1062413',b'9' 
b'doubleTwelveTaskFragmentReceived:_239660',b'3' 
b'doubleTwelveTaskFragmentReceived:_973657',b'10' 
b'doubleTwelveTaskFragmentReceived:_424925',b'3' 
b'doubleTwelveTaskFragmentReceived:_562066',b'6' 
b'doubleTwelveTaskFragmentReceived:_246385',b'6' 
b'doubleTwelveTaskFragmentReceived:_745583',b'6' 
b'doubleTwelveTaskFragmentReceived:_403364',b'3' 
b'doubleTwelveTaskFragmentReceived:_218030',b'12' 
b'doubleTwelveTaskFragmentReceived:_794938',b'17' 
b'doubleTwelveTaskFragmentReceived:_1073918',b'3' 
b'doubleTwelveTaskFragmentReceived:_670613',b'14' 
b'doubleTwelveTaskFragmentReceived:_978245',b'3' 
b'doubleTwelveTaskFragmentReceived:_796470',b'8' 
b'doubleTwelveTaskFragmentReceived:_432740',b'8' 
b'doubleTwelveTaskFragmentReceived:_114162',b'9' 
b'doubleTwelveTaskFragmentReceived:_1075280',b'3' 
b'doubleTwelveTaskFragmentReceived:_475702',b'6' 
b'doubleTwelveTaskFragmentReceived:_348250',b'3' 
b'doubleTwelveTaskFragmentReceived:_1004460',b'12' 
b'doubleTwelveTaskFragmentReceived:_386027',b'6' 
b'doubleTwelveTaskFragmentReceived:_526184',b'7' 
b'doubleTwelveTaskFragmentReceived:_170150',b'2' 
b'doubleTwelveTaskFragmentReceived:_901479',b'15' 
b'doubleTwelveTaskFragmentReceived:_505315',b'12' 
b'doubleTwelveTaskFragmentReceived:_424760',b'2' 
b'doubleTwelveTaskFragmentReceived:_984300',b'15' 
b'doubleTwelveTaskFragmentReceived:_607084',b'12' 
b'doubleTwelveTaskFragmentReceived:_678185',b'3' 
b'doubleTwelveTaskFragmentReceived:_68551',b'3' 
b'doubleTwelveTaskFragmentReceived:_1090619',b'3' 
b'doubleTwelveTaskFragmentReceived:_1048814',b'3' 
b'doubleTwelveTaskFragmentReceived:_271094',b'6' 
b'doubleTwelveTaskFragmentReceived:_159644',b'17' 
b'doubleTwelveTaskFragmentReceived:_555317',b'3' 
b'doubleTwelveTaskFragmentReceived:_688088',b'11' 
b'doubleTwelveTaskFragmentReceived:_1088396',b'5' 
b'doubleTwelveTaskFragmentReceived:_1050171',b'3' 
b'doubleTwelveTaskFragmentReceived:_241023',b'12' 
b'doubleTwelveTaskFragmentReceived:_911326',b'6' 
b'doubleTwelveTaskFragmentReceived:_392274',b'5' 
b'doubleTwelveTaskFragmentReceived:_989977',b'9' 
b'doubleTwelveTaskFragmentReceived:_28875',b'3' 
b'doubleTwelveTaskFragmentReceived:_726775',b'5' 
b'doubleTwelveTaskFragmentReceived:_579334',b'2' 
b'doubleTwelveTaskFragmentReceived:_646655',b'3' 
b'doubleTwelveTaskFragmentReceived:_429106',b'7' 
b'doubleTwelveTaskFragmentReceived:_839431',b'3' 
b'doubleTwelveTaskFragmentReceived:_216348',b'12' 
b'doubleTwelveTaskFragmentReceived:_653009',b'9' 
b'doubleTwelveTaskFragmentReceived:_350645',b'6' 
b'doubleTwelveTaskFragmentReceived:_1024199',b'5' 
b'doubleTwelveTaskFragmentReceived:_323760',b'11' 
b'doubleTwelveTaskFragmentReceived:_1071354',b'6' 
b'doubleTwelveTaskFragmentReceived:_14983',b'3' 
b'doubleTwelveTaskFragmentReceived:_1054021',b'5' 
b'doubleTwelveTaskFragmentReceived:_323857',b'12' 
b'doubleTwelveTaskFragmentReceived:_1023718',b'3' 
b'doubleTwelveTaskFragmentReceived:_1036128',b'11' 
b'doubleTwelveTaskFragmentReceived:_982037',b'15' 
b'doubleTwelveTaskFragmentReceived:_443028',b'8' 
b'doubleTwelveTaskFragmentReceived:_265490',b'3' 
b'doubleTwelveTaskFragmentReceived:_895543',b'3' 
b'doubleTwelveTaskFragmentReceived:_77081',b'3' 
b'doubleTwelveTaskFragmentReceived:_709240',b'6' 
b'doubleTwelveTaskFragmentReceived:_857881',b'6' 
b'doubleTwelveTaskFragmentReceived:_494667',b'3' 
b'doubleTwelveTaskFragmentReceived:_866184',b'17' 
b'doubleTwelveTaskFragmentReceived:_257482',b'6' 
b'doubleTwelveTaskFragmentReceived:_973086',b'3' 
b'doubleTwelveTaskFragmentReceived:_741571',b'3' 
b'doubleTwelveTaskFragmentReceived:_214909',b'9' 
b'doubleTwelveTaskFragmentReceived:_55716',b'15' 
b'doubleTwelveTaskFragmentReceived:_797182',b'3' 
b'doubleTwelveTaskFragmentReceived:_529026',b'4' 
b'doubleTwelveTaskFragmentReceived:_941392',b'6' 
b'doubleTwelveTaskFragmentReceived:_985857',b'13' 
b'doubleTwelveTaskFragmentReceived:_899405',b'12' 
b'doubleTwelveTaskFragmentReceived:_334932',b'15' 
b'doubleTwelveTaskFragmentReceived:_586313',b'5' 
b'doubleTwelveTaskFragmentReceived:_151226',b'3' 
b'doubleTwelveTaskFragmentReceived:_455300',b'12' 
b'doubleTwelveTaskFragmentReceived:_514751',b'3' 
b'doubleTwelveTaskFragmentReceived:_456251',b'2' 
b'doubleTwelveTaskFragmentReceived:_495687',b'2' 
b'doubleTwelveTaskFragmentReceived:_596115',b'14' 
b'doubleTwelveTaskFragmentReceived:_760909',b'3' 
b'doubleTwelveTaskFragmentReceived:_563754',b'5' 
b'doubleTwelveTaskFragmentReceived:_1007674',b'6' 
b'doubleTwelveTaskFragmentReceived:_942447',b'9' 
b'doubleTwelveTaskFragmentReceived:_1083676',b'6' 
b'doubleTwelveTaskFragmentReceived:_1021774',b'3' 
b'doubleTwelveTaskFragmentReceived:_731421',b'9' 
b'doubleTwelveTaskFragmentReceived:_836259',b'15' 
b'doubleTwelveTaskFragmentReceived:_148321',b'12' 
b'doubleTwelveTaskFragmentReceived:_892486',b'2' 
b'doubleTwelveTaskFragmentReceived:_911061',b'6' 
b'doubleTwelveTaskFragmentReceived:_21580',b'6' 
b'doubleTwelveTaskFragmentReceived:_595532',b'9' 
b'doubleTwelveTaskFragmentReceived:_605482',b'6' 
b'doubleTwelveTaskFragmentReceived:_746214',b'6' 
b'doubleTwelveTaskFragmentReceived:_2070',b'2' 
b'doubleTwelveTaskFragmentReceived:_1000109',b'14' 
b'doubleTwelveTaskFragmentReceived:_902197',b'11' 
b'doubleTwelveTaskFragmentReceived:_825219',b'15' 
b'doubleTwelveTaskFragmentReceived:_1047105',b'3' 
b'doubleTwelveTaskFragmentReceived:_1039058',b'3' 
b'doubleTwelveTaskFragmentReceived:_719278',b'3' 
b'doubleTwelveTaskFragmentReceived:_433917',b'3' 
b'doubleTwelveTaskFragmentReceived:_801650',b'15' 
b'doubleTwelveTaskFragmentReceived:_696044',b'6' 
b'doubleTwelveTaskFragmentReceived:_1025777',b'6' 
b'doubleTwelveTaskFragmentReceived:_335773',b'15' 
b'doubleTwelveTaskFragmentReceived:_396613',b'3' 
b'doubleTwelveTaskFragmentReceived:_160841',b'15' 
b'doubleTwelveTaskFragmentReceived:_443018',b'4' 
b'doubleTwelveTaskFragmentReceived:_756706',b'13' 
b'doubleTwelveTaskFragmentReceived:_1008175',b'9' 
b'doubleTwelveTaskFragmentReceived:_347906',b'7' 
b'doubleTwelveTaskFragmentReceived:_1065368',b'6' 
b'doubleTwelveTaskFragmentReceived:_1019430',b'3' 
b'doubleTwelveTaskFragmentReceived:_1089757',b'3' 
b'doubleTwelveTaskFragmentReceived:_1040088',b'3' 
b'doubleTwelveTaskFragmentReceived:_904039',b'3' 
b'doubleTwelveTaskFragmentReceived:_832397',b'2' 
b'doubleTwelveTaskFragmentReceived:_760828',b'15' 
b'doubleTwelveTaskFragmentReceived:_812268',b'2' 
b'doubleTwelveTaskFragmentReceived:_861169',b'6' 
b'doubleTwelveTaskFragmentReceived:_459799',b'8' 
b'doubleTwelveTaskFragmentReceived:_876421',b'9' 
b'doubleTwelveTaskFragmentReceived:_862670',b'2' 
b'doubleTwelveTaskFragmentReceived:_211828',b'2' 
b'doubleTwelveTaskFragmentReceived:_22707',b'6' 
b'doubleTwelveTaskFragmentReceived:_509441',b'3' 
b'doubleTwelveTaskFragmentReceived:_22013',b'12' 
b'doubleTwelveTaskFragmentReceived:_118152',b'3' 
b'doubleTwelveTaskFragmentReceived:_31534',b'3' 
b'doubleTwelveTaskFragmentReceived:_466804',b'3' 
b'doubleTwelveTaskFragmentReceived:_258176',b'6' 
b'doubleTwelveTaskFragmentReceived:_1010160',b'6' 
b'doubleTwelveTaskFragmentReceived:_981723',b'12' 
b'doubleTwelveTaskFragmentReceived:_784990',b'17' 
b'doubleTwelveTaskFragmentReceived:_844457',b'17' 
b'doubleTwelveTaskFragmentReceived:_857659',b'9' 
b'doubleTwelveTaskFragmentReceived:_984360',b'3' 
b'doubleTwelveTaskFragmentReceived:_860429',b'6' 
b'doubleTwelveTaskFragmentReceived:_903248',b'15' 
b'doubleTwelveTaskFragmentReceived:_644662',b'6' 
b'doubleTwelveTaskFragmentReceived:_207157',b'11' 
b'doubleTwelveTaskFragmentReceived:_1054955',b'3' 
b'doubleTwelveTaskFragmentReceived:_979964',b'3' 
b'doubleTwelveTaskFragmentReceived:_789207',b'9' 
b'doubleTwelveTaskFragmentReceived:_323662',b'3' 
b'doubleTwelveTaskFragmentReceived:_899641',b'6' 
b'doubleTwelveTaskFragmentReceived:_909900',b'9' 
b'doubleTwelveTaskFragmentReceived:_109515',b'3' 
b'doubleTwelveTaskFragmentReceived:_595299',b'3' 
b'doubleTwelveTaskFragmentReceived:_9664',b'9' 
b'doubleTwelveTaskFragmentReceived:_928064',b'6' 
b'doubleTwelveTaskFragmentReceived:_791401',b'6' 
b'doubleTwelveTaskFragmentReceived:_796401',b'5' 
b'doubleTwelveTaskFragmentReceived:_706478',b'15' 
b'doubleTwelveTaskFragmentReceived:_9901',b'9' 
b'doubleTwelveTaskFragmentReceived:_844200',b'3' 
b'doubleTwelveTaskFragmentReceived:_846281',b'7' 
b'doubleTwelveTaskFragmentReceived:_30026',b'14' 
b'doubleTwelveTaskFragmentReceived:_609960',b'4' 
b'doubleTwelveTaskFragmentReceived:_129449',b'9' 
b'doubleTwelveTaskFragmentReceived:_912634',b'12' 
b'doubleTwelveTaskFragmentReceived:_28054',b'15' 
b'doubleTwelveTaskFragmentReceived:_972935',b'6' 
b'doubleTwelveTaskFragmentReceived:_1076677',b'6' 
b'doubleTwelveTaskFragmentReceived:_1056088',b'2' 
b'doubleTwelveTaskFragmentReceived:_874879',b'3' 
b'doubleTwelveTaskFragmentReceived:_1064224',b'4' 
b'doubleTwelveTaskFragmentReceived:_1023361',b'12' 
b'doubleTwelveTaskFragmentReceived:_599356',b'17' 
b'doubleTwelveTaskFragmentReceived:_125764',b'8' 
b'doubleTwelveTaskFragmentReceived:_1082046',b'5' 
b'doubleTwelveTaskFragmentReceived:_1025116',b'3' 
b'doubleTwelveTaskFragmentReceived:_887763',b'11' 
b'doubleTwelveTaskFragmentReceived:_714122',b'6' 
b'doubleTwelveTaskFragmentReceived:_1021089',b'6' 
b'doubleTwelveTaskFragmentReceived:_157749',b'9' 
b'doubleTwelveTaskFragmentReceived:_112781',b'6' 
b'doubleTwelveTaskFragmentReceived:_172817',b'9' 
b'doubleTwelveTaskFragmentReceived:_747964',b'5' 
b'doubleTwelveTaskFragmentReceived:_163487',b'8' 
b'doubleTwelveTaskFragmentReceived:_738843',b'5' 
b'doubleTwelveTaskFragmentReceived:_769325',b'6' 
b'doubleTwelveTaskFragmentReceived:_976484',b'9' 
b'doubleTwelveTaskFragmentReceived:_790638',b'15' 
b'doubleTwelveTaskFragmentReceived:_222102',b'3' 
b'doubleTwelveTaskFragmentReceived:_696268',b'6' 
b'doubleTwelveTaskFragmentReceived:_233838',b'8' 
b'doubleTwelveTaskFragmentReceived:_508214',b'6' 
b'doubleTwelveTaskFragmentReceived:_1033549',b'6' 
b'doubleTwelveTaskFragmentReceived:_227072',b'6' 
b'doubleTwelveTaskFragmentReceived:_325570',b'8' 
b'doubleTwelveTaskFragmentReceived:_130197',b'16' 
b'doubleTwelveTaskFragmentReceived:_345118',b'6' 
b'doubleTwelveTaskFragmentReceived:_45392',b'3' 
b'doubleTwelveTaskFragmentReceived:_323526',b'17' 
b'doubleTwelveTaskFragmentReceived:_967637',b'3' 
b'doubleTwelveTaskFragmentReceived:_848026',b'2' 
b'doubleTwelveTaskFragmentReceived:_727546',b'3' 
b'doubleTwelveTaskFragmentReceived:_1053704',b'3' 
b'doubleTwelveTaskFragmentReceived:_1016646',b'3' 
b'doubleTwelveTaskFragmentReceived:_1046485',b'6' 
b'doubleTwelveTaskFragmentReceived:_27437',b'6' 
b'doubleTwelveTaskFragmentReceived:_183769',b'12' 
b'doubleTwelveTaskFragmentReceived:_122327',b'3' 
b'doubleTwelveTaskFragmentReceived:_108492',b'17' 
b'doubleTwelveTaskFragmentReceived:_634645',b'2' 
b'doubleTwelveTaskFragmentReceived:_710382',b'7' 
b'doubleTwelveTaskFragmentReceived:_972924',b'9' 
b'doubleTwelveTaskFragmentReceived:_966262',b'5' 
b'doubleTwelveTaskFragmentReceived:_192929',b'2' 
b'doubleTwelveTaskFragmentReceived:_453641',b'6' 
b'doubleTwelveTaskFragmentReceived:_702205',b'3' 
b'doubleTwelveTaskFragmentReceived:_599512',b'12' 
b'doubleTwelveTaskFragmentReceived:_25093',b'4' 
b'doubleTwelveTaskFragmentReceived:_816775',b'15' 
b'doubleTwelveTaskFragmentReceived:_201268',b'10' 
b'doubleTwelveTaskFragmentReceived:_266473',b'6' 
b'doubleTwelveTaskFragmentReceived:_623786',b'16' 
b'doubleTwelveTaskFragmentReceived:_1077409',b'3' 
b'doubleTwelveTaskFragmentReceived:_781524',b'6' 
b'doubleTwelveTaskFragmentReceived:_647572',b'12' 
b'doubleTwelveTaskFragmentReceived:_491578',b'11' 
b'doubleTwelveTaskFragmentReceived:_545581',b'4' 
b'doubleTwelveTaskFragmentReceived:_841253',b'6' 
